     tim; pos; vol; res; sPs; tur; rat; amp; pow; eAd; eDm; eFl; sNw; sKh; 
   11.00; 4; 740; 0.28; 17.866; 38.861; 0.205; 541.79; 400921.64; 356820.26; 0.0; 5358509.183; 17.886; 64.39; 
   11.03; 4; 740; 0.28; 17.886; 38.904; 0.204; 539.14; 398965.82; 355079.58; 0.0; 5370345.169; 17.906; 64.462; 
   11.07; 4; 740; 0.28; 17.906; 38.948; 0.204; 539.14; 398965.82; 355079.58; 0.0; 5382181.155; 17.926; 64.534; 
   11.10; 4; 740; 0.28; 17.926; 38.991; 0.204; 539.14; 398965.82; 355079.58; 0.0; 5394017.141; 17.945; 64.602; 
   11.13; 4; 740; 0.28; 17.945; 39.032; 0.204; 539.14; 398965.82; 355079.58; 0.0; 5405853.127; 17.965; 64.674; 
   11.17; 4; 740; 0.28; 17.965; 39.076; 0.204; 539.14; 398965.82; 355079.58; 0.0; 5417689.113; 17.985; 64.746; 
   11.20; 4; 740; 0.28; 17.985; 39.119; 0.204; 539.14; 398965.82; 355079.58; 0.0; 5429525.099; 18.004; 64.814; 
   11.23; 4; 740; 0.28; 18.004; 39.161; 0.203; 536.5; 397010.0; 353338.9; 0.0; 5441303.062; 18.024; 64.886; 
   11.27; 4; 740; 0.28; 18.024; 39.204; 0.203; 536.5; 397010.0; 353338.9; 0.0; 5453081.025; 18.043; 64.955; 
   11.30; 4; 740; 0.28; 18.043; 39.246; 0.203; 536.5; 397010.0; 353338.9; 0.0; 5464858.988; 18.063; 65.027; 
   11.33; 4; 740; 0.28; 18.063; 39.289; 0.203; 536.5; 397010.0; 353338.9; 0.0; 5476636.951; 18.082; 65.095; 
   11.37; 4; 740; 0.28; 18.082; 39.33; 0.203; 536.5; 397010.0; 353338.9; 0.0; 5488414.914; 18.102; 65.167; 
   11.40; 4; 740; 0.28; 18.102; 39.374; 0.203; 536.5; 397010.0; 353338.9; 0.0; 5500192.877; 18.121; 65.236; 
   11.43; 4; 740; 0.28; 18.121; 39.415; 0.202; 533.86; 395054.18; 351598.22; 0.0; 5511912.818; 18.14; 65.304; 
   11.47; 4; 740; 0.28; 18.14; 39.457; 0.202; 533.86; 395054.18; 351598.22; 0.0; 5523632.759; 18.16; 65.376; 
   11.50; 4; 740; 0.28; 18.16; 39.5; 0.202; 533.86; 395054.18; 351598.22; 0.0; 5535352.7; 18.179; 65.444; 
   11.53; 4; 740; 0.28; 18.179; 39.541; 0.202; 533.86; 395054.18; 351598.22; 0.0; 5547072.641; 18.198; 65.513; 
